FECHA,PRECIP,EVAP,TMAX,TMIN
2020-01-01,0,3,14,4
2020-01-03,0,3.1,13,3
2020-01-05,0,3,13,7
2020-01-07,0,2.5,12,5
2020-01-09,0,2.6,12,6
2020-01-11,0,2.1,13,8
2020-01-13,0,3.1,13,6
2020-01-15,0,2.6,13,7
2020-01-17,0,2.5,12,3
2020-01-19,7,3.2,11,3
2020-01-21,0,2.6,15,3
2020-01-23,0,2.6,12,6
2020-01-25,0,2.5,14,5
2020-01-27,0,2.4,11,4
2020-01-29,0,2.6,11,6
2020-01-31,0,2.5,15,5
2020-02-02,0,2.6,13,4
2020-02-04,0,1.6,12,3
2020-02-06,0,2.6,11,7
2020-02-08,0,2.6,14,6
2020-02-10,0,3.1,15,4
2020-02-12,0,3.2,16,4
2020-02-14,0,5.1,15,6
2020-02-16,0,3.1,12,5
2020-02-18,0,2.6,12,6
2020-02-20,0,3.1,17,5
2020-02-22,0,3.1,14,4
2020-02-24,0,2.6,16,3
2020-02-26,0,2.6,13,3
2020-02-28,0,3.1,11,5
2020-03-01,0,3.1,12,6
2020-03-03,0,3,11,5
2020-03-05,0,3.1,13,6
2020-03-07,0,2.6,13,7
2020-03-09,0,2.6,13,8
2020-03-11,0,2.3,12,2
2020-03-13,0,2.6,16,6
2020-03-15,0,2.6,14,4
2020-03-17,0,2.6,14,5
2020-03-19,0,4.1,13,4
2020-03-21,0,4.1,15,8
2020-03-23,0,2.7,15,5
2020-03-25,0,3.1,12,4
2020-03-27,0,3.1,13,5
2020-03-29,0,3.1,15,8
2020-03-31,0,3.1,12,4
2020-04-02,0,3.1,13,6
2020-04-04,0,4.1,12,8
2020-04-06,0,3.1,13,7
2020-04-08,0,3.1,13,3
2020-04-10,0,3.1,13,8
2020-04-12,0,3.1,14,7
2020-04-14,0,3.1,14,3
2020-04-16,0,3.1,11,7
2020-04-18,0,3.1,16,6
2020-04-20,0,2.6,13,3
2020-04-22,0,2.6,13,8
2020-04-24,0,2.6,13,7
2020-04-26,0,2.6,14,3
2020-04-28,0,3.1,15,4
2020-04-30,6,3.1,11,5
2020-05-02,0,2.6,14,5
2020-05-04,4,2.6,14,4
2020-05-06,11,3.6,15,5
2020-05-08,24,2.6,11,6
2020-05-10,7,2.64,14,4
2020-05-12,3,2.6,12,4
2020-05-14,27,2.6,12,7
2020-05-16,0,2.6,12,6
2020-05-18,0,2.6,12,5
2020-05-20,0,2.6,14,3
2020-05-22,0,2.6,16,6
2020-05-24,0,3,14,5
2020-05-26,0,2.6,13,7
2020-05-28,18,3.6,10,6
2020-05-30,0,2.6,12,5
2020-06-01,0,2.6,12,6
2020-06-03,0,2.6,14,5
2020-06-05,0,3.1,14,3
2020-06-07,3,2.6,13,8
2020-06-09,14,3.6,14,3
2020-06-11,11,4.1,13,4
2020-06-13,0,3.1,12,7
2020-06-15,0,3.1,13,8
2020-06-17,18,2.5,15,4
2020-06-19,0,2.6,12,7
2020-06-21,5,3.6,12,8
2020-06-23,47,9.3,12,6
2020-06-25,34,5.5,11,7
2020-06-27,0,4.1,11,6
2020-06-29,7,4.6,16,5
2020-07-01,0,2.6,14,4
2020-07-03,11,5.1,11,5
2020-07-05,17,4.6,14,7
2020-07-07,16,8.2,14,3
2020-07-09,7,6.7,15,4
2020-07-11,0,2.6,13,3
2020-07-13,4,2.5,10,7
2020-07-15,12,2.6,14,8
2020-07-17,0,3,12,6
2020-07-19,0,3.1,16,5
2020-07-21,26,9.1,14,3
2020-07-23,22,4.5,12,3
2020-07-25,24,9.7,12,5
2020-07-27,22,5.2,11,7
2020-07-29,0,2.3,13,6
2020-07-31,0,3.1,14,7
2020-08-02,4,1.1,12,7
2020-08-04,35,5.2,11,6
2020-08-06,10,6.1,15,6
2020-08-08,14,5.6,15,4
2020-08-10,12,6.4,11,5
2020-08-12,0,2.6,13,6
2020-08-14,9,4.5,14,4
2020-08-16,0,4.1,14,3
2020-08-18,10,5.1,14,3
2020-08-20,26,5.5,15,4
2020-08-22,14,2.6,16,5
2020-08-24,12,3.6,12,3
2020-08-26,10,4.6,10,6
2020-08-28,14,5.5,14,7
2020-08-30,0,3.6,14,4
2020-09-01,6,5.1,14,7
2020-09-03,0,3.1,14,8
2020-09-05,4,4.5,14,3
2020-09-07,0,4.3,14,4
2020-09-09,9,9.1,11,6
2020-09-11,66,3.1,15,7
2020-09-13,0,2.5,17,4
2020-09-15,56,9.1,15,6
2020-09-17,4,6.1,10,4
2020-09-19,10,5.1,11,5
2020-09-21,19,4.1,16,6
2020-09-23,0,6.1,13,7
2020-09-25,9,4.1,15,3
2020-09-27,10,2.6,12,5
2020-09-29,11,3.1,12,6
2020-10-01,0,2,11,3
2020-10-03,0,3,14,7
2020-10-05,0,2.1,13,3
2020-10-07,0,2.3,14,4
2020-10-09,38,2.3,12,3
2020-10-11,6,4.1,16,7
2020-10-13,4,5.1,13,4
2020-10-15,0,3.1,12,7
2020-10-17,0,2.3,15,5
2020-10-19,0,2.3,11,6
2020-10-21,0,2.3,14,4
2020-10-23,0,2.3,11,5
2020-10-25,0,2.3,13,6
2020-10-27,0,3.1,12,3
2020-10-29,0,3.1,13,7
2020-10-31,0,3.1,12,4
2020-11-02,0,2.3,10,6
2020-11-04,0,3.1,15,5
2020-11-06,0,3.1,14,4
2020-11-08,0,3.1,14,4
2020-11-10,0,2.5,12,3
2020-11-12,0,3.11,15,6
2020-11-14,0,2.3,13,4
2020-11-16,0,2.3,14,3
2020-11-18,0,3.1,14,5
2020-11-20,0,2.3,12,3
2020-11-22,0,2.3,14,8
2020-11-24,0,3.2,14,3
2020-11-26,0,3.1,15,4
2020-11-28,0,3.1,12,6
2020-11-30,0,3.1,14,3
2020-12-02,0,2.3,12,4
2020-12-04,0,3.1,13,3
2020-12-06,0,3.1,14,4
2020-12-08,0,3,13,3
2020-12-10,0,2.6,12,7
2020-12-12,0,2.3,14,8
2020-12-14,0,2.3,14,4
2020-12-16,0,2.3,13,7
2020-12-18,0,2.3,13,3
2020-12-20,0,2.5,12,7
2020-12-22,0,2.6,16,5
2020-12-24,0,3.4,12,6
2020-12-26,0,2.3,12,5
2020-12-28,0,4.1,17,6
2020-12-30,0,3.1,13,7
2021-01-01,0,2.3,15,5
2021-01-03,0,2.3,14,4
2021-01-05,0,1.8,16,5
2021-01-07,0,2.6,10,6
2021-01-09,0,2.3,12,5
2021-01-11,4,2.5,13,3
2021-01-13,0,3.1,15,4
2021-01-15,0,3.1,16,3
2021-01-17,26,3.1,13,6
2021-01-19,0,3.1,14,3
2021-01-21,0,3.1,16,5
2021-01-23,0,3.1,15,6
2021-01-25,0,3.1,13,3
2021-01-27,0,3.1,13,8
2021-01-29,0,3.1,11,7
2021-01-31,0,3.1,14,6
2021-02-02,0,1.98,14,4
2021-02-04,0,3.1,14,8
2021-02-06,0,2.6,13,3
2021-02-08,0,3.1,14,7
2021-02-10,0,3.1,11,4
2021-02-12,0,2.3,13,7
2021-02-14,0,3.1,12,6
2021-02-16,0,2.5,13,7
2021-02-18,0,2.3,15,8
2021-02-20,0,2.3,14,4
2021-02-22,0,2.3,10,4
2021-02-24,0,3.04,17,5
2021-02-26,0,3.1,15,4
2021-02-28,0,3.1,8,3
2021-03-02,0,3.1,15,8
2021-03-04,0,3.1,14,4
2021-03-06,0,3.1,14,3
2021-03-08,0,3.1,12,8
2021-03-10,0,3.1,12,6
2021-03-12,0,3.1,14,7
2021-03-14,0,2.6,12,8
2021-03-16,0,3.2,15,5
